Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
1998,22,IND,QB,18,16,16,15,62,0,15,4.1,3.9,0.9,,,,,,,,,62,0,3,
1999,23,IND,QB,18,16,16,35,73,2,13,2.1,4.6,2.2,,,,,,,,,73,2,6,
2000,24,IND,QB,18,16,16,37,116,1,14,3.1,7.3,2.3,,,,,,,,,116,1,5,
2001,25,IND,QB,18,16,16,35,157,4,33,4.5,9.8,2.2,,,,,,,,,157,4,7,
2002,26,IND,QB,18,16,16,38,148,2,13,3.9,9.3,2.4,,,,,,,,,148,2,6,
2003,27,IND,QB,18,16,16,28,26,0,10,0.9,1.6,1.8,1,1,-2,-2,0,-2,0.1,-0.1,24,0,6,
2004,28,IND,QB,18,16,16,25,38,0,19,1.5,2.4,1.6,,,,,,,,,38,0,5,
2005,29,IND,QB,18,16,16,33,45,0,12,1.4,2.8,2.1,,,,,,,,,45,0,5,
2006,30,IND,QB,18,16,16,23,36,4,12,1.6,2.3,1.4,,,,,,,,,36,4,2,
2007,31,IND,QB,18,16,16,20,-5,3,4,-0.3,-0.3,1.3,,,,,,,,,-5,3,6,
2008,32,IND,QB,18,16,16,20,21,1,12,1.1,1.3,1.3,,,,,,,,,21,1,1,
2009,33,IND,QB,18,16,16,19,-13,0,3,-0.7,-0.8,1.2,,,,,,,,,-13,0,2,
2010,34,IND,QB,18,16,16,18,18,0,27,1,1.1,1.1,,,,,,,,,18,0,3,
2012,36,DEN,QB,18,16,16,23,6,0,10,0.3,0.4,1.4,,,,,,,,,6,0,2,
2013,37,DEN,QB,18,16,16,32,-31,1,1,-1,-1.9,2,,,,,,,,,-31,1,11,
2014,38,DEN,QB,18,16,16,24,-24,0,4,-1,-1.5,1.5,,,,,,,,,-24,0,6,
2015,39,DEN,QB,18,10,9,6,-6,0,-1,-1,-0.6,0.6,,,,,,,,,-6,0,1,