Season,Age,Tm,Lg,GP,G,A,PTS,Plus_Minus,PIM,EV,PP,SH,GW,EV,PP,SH,S,S_Percentage,TSA,TOI,ATOI,FOwin,FOloss,FO_Percentage,HIT,BLK,TK,GV,Awards
1997-98,18,BOS,NHL,55,3,4,7,-6,19,3,0,0,1,3,1,0,33,9.1,,,,,,,,,,,
1998-99,19,BOS,NHL,81,16,25,41,3,69,9,7,0,1,17,8,0,128,12.5,,1243,15:21,,,,,,,,
1999-00,20,BOS,NHL,81,23,37,60,-5,82,18,5,0,3,29,8,0,171,13.5,,1725,21:18,,,,,,,,
2000-01,21,BOS,NHL,72,37,34,71,-4,107,17,19,1,5,27,7,0,181,20.4,,1566,21:45,,,,,,,,
2001-02,22,BOS,NHL,66,22,46,68,7,127,16,6,0,5,30,16,0,152,14.5,,1319,19:59,,,,,,,,AS-10
2002-03,23,BOS,NHL,77,36,65,101,12,109,22,12,2,4,43,22,0,196,18.4,,1736,22:33,,,,,,,,AS-2Hart-4
2003-04,24,BOS,NHL,77,23,50,73,18,98,19,4,0,6,38,12,0,187,12.3,,1666,21:38,,,,,,,,AS-3Hart-14
2005-06,26,TOT,NHL,81,29,96,125,31,61,18,11,0,6,54,40,2,195,14.9,,1728,21:20,,,,,,,,AS-1Byng-15Hart-1Ross-1Selke-19
2006-07,27,SJS,NHL,82,22,92,114,24,44,12,10,0,5,48,44,0,213,10.3,,1666,20:19,,,,,,,,AS-3Byng-14Hart-5Selke-21
2007-08,28,SJS,NHL,82,29,67,96,18,59,18,11,0,5,41,26,0,178,16.3,308,1754,21:24,784,700,52.8,60,31,55,103,AS-2Byng-11Hart-6Selke-58
2008-09,29,SJS,NHL,82,25,61,86,16,56,14,11,0,3,37,24,0,139,18,257,1596,19:28,718,577,55.4,81,24,64,86,AS-5Byng-33Hart-9Selke-28
2009-10,30,SJS,NHL,79,20,69,89,17,54,15,4,1,2,42,25,2,141,14.2,233,1569,19:51,662,566,53.9,113,29,71,88,AS-5Byng-27Hart-12Selke-32
2010-11,31,SJS,NHL,80,21,49,70,4,47,10,9,2,3,25,24,0,149,14.1,261,1590,19:52,675,565,54.4,56,35,114,98,Selke-36
2011-12,32,SJS,NHL,82,18,59,77,17,31,14,4,0,2,39,19,1,156,11.5,259,1678,20:28,557,436,56.1,42,26,96,95,Selke-31
2012-13,33,SJS,NHL,48,7,33,40,6,26,5,2,0,1,14,19,0,85,8.2,136,882,18:23,410,291,58.5,23,21,37,42,Selke-45
2013-14,34,SJS,NHL,82,11,65,76,20,32,9,2,0,3,47,17,1,122,9,226,1552,18:56,617,482,56.1,54,34,76,96,AS-9Hart-22
2014-15,35,SJS,NHL,78,16,49,65,-4,30,12,4,0,0,31,18,0,131,12.2,255,1437,18:25,535,405,56.9,39,24,60,90,Byng-46Selke-14
2015-16,36,SJS,NHL,82,19,63,82,25,54,11,8,0,6,42,21,0,121,15.7,211,1506,18:22,399,353,53.1,48,30,69,98,